Quote,Theme
"Sometimes even to live is an act of courage",perseverance
"True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have.",happiness
"Luck is what happens when prepartion meets opportunity.",inspirational
"We suffer more often in imagination than in reality.",perspective
"He who is brave, is free.",bravery
"No man was ever wise by chance.",wisdom
"All cruelty springs from weakness.",weakness
"Difficulties strengthen the mind, as labor does the body.",adversity
"If a man knows not to which port he sails, no wind is favorable.",goals
"It is the power of the mind to be unconquerable.",stoicism
